intent,entity,response_en,response_hi
ask_symptom,insomnia,"Insomnia is characterized by difficulty falling asleep, staying asleep, or getting good-quality sleep, despite having the time and environment to do so.","अनिद्रा (इंसोम्निया) की विशेषता है सोने के लिए समय और वातावरण होने के बावजूद, सोने में कठिनाई, सोते रहने में कठिनाई, या अच्छी गुणवत्ता वाली नींद न ले पाना।"
ask_symptom,stomach ache,"A stomach ache can feel like a dull or sharp pain in the abdomen. It can be caused by many things, including indigestion or gas. Severe or persistent pain needs a doctor's evaluation.","पेट दर्द पेट में एक हल्का या तेज दर्द जैसा महसूस हो सकता है। यह अपच या गैस सहित कई चीजों के कारण हो सकता है। गंभीर या लगातार दर्द के लिए डॉक्टर के मूल्यांकन की आवश्यकता होती है।"
ask_symptom,gastritis,"Gastritis symptoms may include a burning ache in the upper abdomen, nausea, and vomiting. See a doctor for diagnosis as it can have various causes.","गैस्ट्राइटिस के लक्षणों में ऊपरी पेट में जलन, मतली और उल्टी शामिल हो सकती है। निदान के लिए डॉक्टर से मिलें क्योंकि इसके विभिन्न कारण हो सकते हैं।"
ask_symptom,constipation,"Constipation is defined as having fewer than three bowel movements a week, or stools that are hard, dry, and difficult to pass.","कब्ज को एक सप्ताह में तीन से कम बार मल त्यागने, या मल के कठोर, शुष्क और निकलने में मुश्किल होने के रूप में परिभाषित किया गया है।"
ask_symptom,seasonal allergies,"Seasonal allergies (hay fever) often cause sneezing, a runny or stuffy nose, and itchy, watery eyes. These symptoms occur at certain times of the year.","मौसमी एलर्जी (हे फीवर) अक्सर छींकने, बहती या भरी हुई नाक, और खुजली, पानी वाली आँखों का कारण बनती है। ये लक्षण साल के निश्चित समय पर होते हैं।"
ask_symptom,strep throat,"Strep throat symptoms include a very sore throat that starts quickly, pain when swallowing, fever, and red spots on the roof of the mouth. It requires a medical diagnosis.","स्ट्रेप थ्रोट के लक्षणों में एक बहुत गले में खराश जो जल्दी शुरू होती है, निगलने में दर्द, बुखार, और मुंह की छत पर लाल धब्बे शामिल हैं। इसके लिए एक चिकित्सा निदान की आवश्यकता होती है।"
ask_symptom,uti,"A urinary tract infection (UTI) often causes a strong, persistent urge to urinate, a burning sensation when urinating, and cloudy urine. See a doctor if you suspect a UTI.","मूत्र पथ के संक्रमण (यूटीआई) के कारण अक्सर पेशाब करने की तीव्र, लगातार इच्छा, पेशाब करते समय जलन, और धुंधला मूत्र होता है। यदि आपको यूटीआई का संदेह है तो डॉक्टर से मिलें।"
ask_symptom,eczema,"Eczema (atopic dermatitis) symptoms include dry, itchy, red, and inflamed patches of skin. It is a chronic condition and should be managed with a doctor.","एक्जिमा (एटिपिकल डर्मेटाइटिस) के लक्षणों में त्वचा के सूखे, खुजलीदार, लाल और सूजे हुए पैच शामिल हैं। यह एक पुरानी स्थिति है और इसे डॉक्टर के साथ प्रबंधित किया जाना चाहिए।"
ask_symptom,acne,"Acne is a skin condition characterized by pimples, blackheads, and whiteheads, often on the face, chest, and back.","मुंहासे (एक्ने) एक त्वचा की स्थिति है जिसकी विशेषता पिंपल्स, ब्लैकहेड्स और व्हाइटहेड्स हैं, जो अक्सर चेहरे, छाती और पीठ पर होते हैं।"
ask_symptom,bronchitis,"Acute bronchitis often follows a cold, with a persistent cough that may bring up mucus, fatigue, and mild chest discomfort. Persistent cough needs medical evaluation.","तीव्र ब्रोंकाइटिस अक्सर सर्दी के बाद होता है, जिसमें लगातार खांसी होती है जिसमें बलगम, थकान और सीने में हल्की बेचैनी हो सकती है। लगातार खांसी के लिए चिकित्सकीय मूल्यांकन की आवश्यकता होती है।"
ask_symptom,depression,"Symptoms of depression can include a persistent feeling of sadness, loss of interest in activities, changes in sleep or appetite, and feelings of worthlessness. This is a serious condition; please consult a mental health professional.","अवसाद के लक्षणों में उदासी की लगातार भावना, गतिविधियों में रुचि की कमी, नींद या भूख में परिवर्तन, और व्यर्थता की भावनाएं शामिल हो सकती हैं। यह एक गंभीर स्थिति है; कृपया एक मानसिक स्वास्थ्य पेशेवर से परामर्श लें।"
ask_symptom,diabetes,"Type 2 diabetes symptoms can be mild and include frequent urination, increased thirst, persistent hunger, fatigue, and blurred vision. Consult a doctor for screening.","टाइप 2 मधुमेह के लक्षण हल्के हो सकते हैं और इसमें बार-बार पेशाब आना, प्यास बढ़ना, लगातार भूख लगना, थकान और धुंधली दृष्टि शामिल हैं। स्क्रीनिंग के लिए डॉक्टर से सलाह लें।"
ask_symptom,hypertension,"High blood pressure (hypertension) usually has no symptoms. It is often called the 'silent killer'. The only way to know is to have it checked regularly by a healthcare professional.","उच्च रक्तचाप (हाइपरटेंशन) में आमतौर पर कोई लक्षण नहीं होते हैं। इसे अक्सर 'साइलेंट किलर' कहा जाता है। जानने का एकमात्र तरीका है कि इसे नियमित रूप से एक स्वास्थ्य पेशेवर से जांचा जाए।"
ask_first_aid,cold,"For a cold, focus on rest and hydration. Over-the-counter decongestants may help symptoms. Consult a pharmacist or doctor for advice.","सर्दी-जुकाम के लिए आराम और हाइड्रेशन पर ध्यान दें। ओवर-द-काउंटर डीकन्जेस्टेन्ट लक्षणों में मदद कर सकते हैं। सलाह के लिए किसी फार्मासिस्ट या डॉक्टर से सलाह लें।"
ask_first_aid,flu,"Rest, drink plenty of fluids, and manage fever with over-the-counter medications. Contact a healthcare provider if you are in a high-risk group or symptoms are severe.","आराम करें, खूब सारे तरल पदार्थ पिएं और ओवर-द-काउंटर दवाओं से बुखार का प्रबंधन करें। यदि आप उच्च जोखिम वाले समूह में हैं या लक्षण गंभीर हैं तो स्वास्थ्य सेवा प्रदाता से संपर्क करें।"
ask_first_aid,headache,"For a mild headache, rest in a quiet, dark room, stay hydrated, and a cool compress may help. Over-the-counter pain relievers can be used as directed.","हल्के सिरदर्द के लिए, शांत, अंधेरे कमरे में आराम करें, हाइड्रेटेड रहें और ठंडी सिकाई से मदद मिल सकती है। ओवर-द-काउंटर दर्द निवारक दवाओं का निर्देशानुसार उपयोग किया जा सकता है।"
ask_first_aid,fever,"Rest and drink plenty of fluids. Over-the-counter fever reducers can help. Seek medical care if fever is very high, persistent, or accompanied by severe symptoms.","आराम करें और खूब सारे तरल पदार्थ पिएं। ओवर-द-काउंटर बुखार कम करने वाली दवाएं मदद कर सकती हैं। यदि बुखार बहुत तेज है, बना रहता, या गंभीर लक्षणों के साथ है, तो चिकित्सकीय सहायता लें।"
ask_first_aid,diarrhea,"The main risk of diarrhea is dehydration. Drink plenty of liquids, such as water, broth, or oral rehydration solutions. Avoid caffeine and alcohol.","दस्त का मुख्य खतरा डिहाइड्रेशन है। खूब सारे तरल पदार्थ पिएं, जैसे पानी, शोरबा या ओरल रिहाइड्रेशन सॉल्यूशन। कैफीन और अल्कोहल से बचें।"
ask_first_aid,minor burn,"Immediately run the burn under cool (not cold) running water for 10-15 minutes. Cover loosely with a sterile bandage. Do not apply ice or butter. Seek medical help for serious burns.","जले हुए हिस्से को तुरंत 10-15 मिनट के लिए ठंडे (बर्फ़ीले नहीं) बहते पानी के नीचे रखें। एक जीवाणुरहित पट्टी से ढीले ढंग से ढक दें। बर्फ या मक्खन न लगाएं। गंभीर रूप से जलने पर चिकित्सकीय सहायता लें।"
ask_first_aid,scrape,"Clean the area gently with soap and cool water. Apply a thin layer of antibiotic ointment (if not allergic) and cover with a sterile bandage.","क्षेत्र को साबुन और ठंडे पानी से धीरे से साफ करें। एंटीबायोटिक मरहम की एक पतली परत (यदि एलर्जी नहीं है) लगाएं और एक जीवाणुरहित पट्टी से ढक दें।"
ask_first_aid,cut,"Apply gentle, direct pressure with a clean cloth to stop bleeding. Clean the wound with water and cover with a sterile bandage. Seek medical help if bleeding is severe or doesn't stop.","खून बहना रोकने के लिए एक साफ कपड़े से हल्का, सीधा दबाव डालें। घाव को पानी से साफ करें और पट्टी से ढक दें। यदि रक्तस्राव गंभीर है या नहीं रुकता है तो चिकित्सकीय सहायता लें।"
ask_first_aid,insect bite,"Wash the area with soap and water. Apply a cool compress to reduce swelling. Try not to scratch. See a doctor if you have signs of an allergic reaction.","क्षेत्र को साबुन और पानी से धो लें। सूजन कम करने के लिए ठंडा सेक लगाएं। खरोंचने की कोशिश न करें। यदि आपको एलर्जी की प्रतिक्रिया के लक्षण दिखें तो डॉक्टर से मिलें।"
ask_first_aid,sprain,"Follow R.I.C.E: Rest the joint, Ice the area, Compress with a bandage, and Elevate the limb. This is not a substitute for medical evaluation.","R.I.C.E का पालन करें: जोड़ को आराम दें (Rest), क्षेत्र पर बर्फ लगाएं (Ice), पट्टी से दबाएं (Compress), और अंग को ऊपर उठाएं (Elevate)। यह चिकित्सीय मूल्यांकन का विकल्प नहीं है।"
ask_first_aid,nosebleed,"Sit upright and lean forward. Pinch your nostrils closed continuously for 10-15 minutes. Breathe through your mouth. If bleeding continues after 20 minutes, seek medical attention.","सीधे बैठें और आगे की ओर झुकें। अपनी नाक को 10-15 मिनट के लिए लगातार बंद रखें। अपने मुंह से सांस लें। यदि 20 मिनट के बाद भी रक्तस्राव जारी रहता है, तो चिकित्सकीय सहायता लें।"
ask_first_aid,food poisoning,"The most important thing is to stay hydrated by drinking water, broth, or an oral rehydration solution. Avoid solid foods until vomiting stops. Seek medical help if you have severe symptoms.","सबसे महत्वपूर्ण बात है पानी, शोरबा, या ओरल रिहाइड्रेशन सॉल्यूशन पीकर हाइड्रेटेड रहना। उल्टी बंद होने तक ठोस खाद्य पदार्थों से बचें। यदि आपको गंभीर लक्षण हैं तो चिकित्सकीय सहायता लें।"
ask_first_aid,dehydration,"For mild dehydration, drink fluids like water or oral rehydration solutions. Avoid sugary drinks. Severe dehydration is a medical emergency and requires immediate medical attention.","हल्के निर्जलीकरण के लिए, पानी या ओरल रिहाइड्रेशन सॉल्यूशन जैसे तरल पदार्थ पिएं। मीठे पेय से बचें। गंभीर निर्जलीकरण एक चिकित्सा आपातकाल है और इसके लिए तत्काल चिकित्सा ध्यान देने की आवश्यकता होती है।"
ask_first_aid,choking,"For an adult, perform the Heimlich maneuver (abdominal thrusts). Stand behind the person and wrap your arms around their waist. Make a fist with one hand, place it above their navel, grasp the fist with your other hand, and perform quick, upward thrusts. Call emergency services.","एक वयस्क के लिए, हेमलिच पैंतरेबाज़ी (पेट पर दबाव) का प्रदर्शन करें। व्यक्ति के पीछे खड़े हों और अपनी बाहों को उसकी कमर के चारों ओर लपेटें। एक हाथ से मुट्ठी बनाएं, उसे उसकी नाभि के ऊपर रखें, मुट्ठी को अपने दूसरे हाथ से पकड़ें, और तेजी से, ऊपर की ओर जोर से धक्के दें। आपातकालीन सेवाओं को बुलाओ।"
ask_first_aid,bee sting,"Remove the stinger by scraping it off with a flat edge (like a credit card). Wash the area with soap and water, and apply a cold compress. Watch for signs of an allergic reaction (difficulty breathing, swelling of the face or throat), which is an emergency.","डंक को एक सपाट किनारे (जैसे क्रेडिट कार्ड) से खुरच कर निकाल दें। क्षेत्र को साबुन और पानी से धो लें, और ठंडा सेक लगाएं। एलर्जी की प्रतिक्रिया (सांस लेने में कठिनाई, चेहरे या गले में सूजन) के संकेतों पर ध्यान दें, जो एक आपात स्थिति है।"
ask_first_aid,heat exhaustion,"Move the person to a cool place, loosen their clothing, and have them sip cool water. Apply cool, wet cloths to their skin. Seek medical help if symptoms don't improve.","व्यक्ति को ठंडी जगह पर ले जाएं, उनके कपड़े ढीले करें, और उन्हें ठंडा पानी पिलाएं। उनकी त्वचा पर ठंडे, गीले कपड़े लगाएं। यदि लक्षणों में सुधार नहीं होता है तो चिकित्सकीय सहायता लें।"
ask_first_aid,heatstroke,"Heatstroke is a medical emergency. Call emergency services immediately. Move the person to a cool area and try to cool them down with whatever means available (cool cloths, fan) while waiting for help. Do not give fluids.","हीटस्ट्रोक एक चिकित्सा आपातकाल है। तुरंत आपातकालीन सेवाओं को बुलाओ। व्यक्ति को ठंडे क्षेत्र में ले जाएं और मदद की प्रतीक्षा करते हुए उन्हें उपलब्ध किसी भी माध्यम (ठंडे कपड़े, पंखा) से ठंडा करने का प्रयास करें। तरल पदार्थ न दें।"
ask_first_aid,hypothermia,"Hypothermia is an emergency. Call for medical help. Move the person to a warm, dry place. Remove any wet clothing and cover them with blankets. Offer warm, non-alcoholic drinks if they are conscious.","हाइपोथर्मिया एक आपात स्थिति है। चिकित्सकीय मदद के लिए बुलाओ। व्यक्ति को गर्म, सूखी जगह पर ले जाएं। किसी भी गीले कपड़े को हटा दें और उन्हें कंबलों से ढक दें। यदि वे होश में हैं तो उन्हें गर्म, गैर-अल्कोहल पेय दें।"
ask_first_aid,fracture,"For a suspected fracture, keep the injured area still and supported. Do not try to realign the bone. Apply a cold pack to reduce swelling. Seek immediate medical attention.","संदिग्ध फ्रैक्चर के लिए, घायल क्षेत्र को स्थिर और समर्थित रखें। हड्डी को फिर से संरेखित करने का प्रयास न करें। सूजन कम करने के लिए कोल्ड पैक लगाएं। तत्काल चिकित्सकीय सहायता लें।"
ask_first_aid,seizure,"During a seizure, keep the person safe by moving hard objects away. Place them on their side if possible. Do not put anything in their mouth. Time the seizure. Call for medical help if it lasts over 5 minutes or it's their first seizure.","दौरे के दौरान, कठोर वस्तुओं को दूर ले जाकर व्यक्ति को सुरक्षित रखें। यदि संभव हो तो उन्हें करवट लिटा दें। उनके मुंह में कुछ भी न डालें। दौरे का समय नोट करें। यदि यह 5 मिनट से अधिक समय तक रहता है या यह उनका पहला दौरा है तो चिकित्सकीय मदद के लिए बुलाओ।"
ask_first_aid,anaphylaxis,"Anaphylaxis (severe allergic reaction) is an emergency. Call for help immediately. If the person has an epinephrine auto-injector (EpiPen), help them use it. Have them lie flat.","एनाफिलेक्सिस (गंभीर एलर्जी प्रतिक्रिया) एक आपात स्थिति है। तुरंत मदद के लिए बुलाओ। यदि व्यक्ति के पास एपिनेफ्रीन ऑटो-इंजेक्टर (एपिपेन) है, तो उसका उपयोग करने में उनकी सहायता करें। उन्हें सपाट लिटा दें।"
ask_first_aid,poison ivy,"If you contact poison ivy, immediately wash the skin with soap and water. Apply cool compresses or calamine lotion for itching. Do not scratch. See a doctor if the rash is severe or on the face.","यदि आप पॉइज़न आइवी के संपर्क में आते हैं, तो तुरंत त्वचा को साबुन और पानी से धो लें। खुजली के लिए ठंडा सेक या कैलामाइन लोशन लगाएं। खरोंचें नहीं। यदि दाने गंभीर हैं या चेहरे पर हैं तो डॉक्टर से मिलें।"
ask_first_aid,object in eye,"Do not rub the eye. Try to flush the eye with clean, lukewarm water. See a doctor if you can't remove the object or if there is persistent pain or vision change.","आंख को रगड़ें नहीं। आंख को साफ, गुनगुने पानी से धोने की कोशिश करें। यदि आप वस्तु को नहीं निकाल सकते हैं या यदि लगातार दर्द या दृष्टि में परिवर्तन होता है तो डॉक्टर से मिलें।"
ask_first_aid,constipation,"For mild constipation, try increasing fiber intake, drinking more water, and getting regular exercise. Over-the-counter laxatives are for short-term use; consult a doctor for chronic issues.","हल्की कब्ज के लिए, फाइबर का सेवन बढ़ाने, अधिक पानी पीने और नियमित व्यायाम करने का प्रयास करें। ओवर-द-काउंटर लैक्सेटिव अल्पकालिक उपयोग के लिए हैं; पुरानी समस्याओं के लिए डॉक्टर से परामर्श लें।"
ask_wellness_tip,sleep,"Aim for 7-9 hours of quality sleep per night. Maintain a consistent sleep schedule and create a relaxing bedtime routine in a dark, quiet, cool room.","प्रति रात 7-9 घंटे की गुणवत्ता वाली नींद का लक्ष्य रखें। एक अंधेरे, शांत, ठंडे कमरे में सोने का एक सुसंगत समय बनाए रखें और सोने से पहले एक आरामदायक दिनचर्या बनाएं।"
ask_wellness_tip,stress,"Manage stress with techniques like deep breathing, meditation, yoga, or spending time in nature. Regular exercise and talking to someone you trust can also help.","गहरी सांस लेने, ध्यान, योग या प्रकृति में समय बिताने जैसी तकनीकों से तनाव का प्रबंधन करें। नियमित व्यायाम और किसी भरोसेमंद व्यक्ति से बात करना भी मदद कर सकता है।"
ask_wellness_tip,diet,"Focus on a balanced diet rich in fruits, vegetables, lean proteins, and whole grains. Limit processed foods, sugar, and saturated fats.","फलों, सब्जियों, लीन प्रोटीन और साबुत अनाज से भरपूर संतुलित आहार पर ध्यान केंद्रित करें। प्रसंस्कृत खाद्य पदार्थों, चीनी और संतृप्त वसा को सीमित करें।"
ask_wellness_tip,hydration,"Drink at least 8 glasses (about 2 liters) of water per day. You may need more if you are active or in a hot climate. Your body needs water for all its basic functions.","प्रतिदिन कम से कम 8 गिलास (लगभग 2 लीटर) पानी पिएं। यदि आप सक्रिय हैं या गर्म जलवायु में हैं तो आपको अधिक की आवश्यकता हो सकती है। आपके शरीर को अपने सभी बुनियादी कार्यों के लिए पानी की आवश्यकता होती है।"
ask_wellness_tip,exercise,"Aim for at least 30 minutes of moderate physical activity (like brisk walking) most days of the week. Find an activity you enjoy to stay consistent.","सप्ताह के अधिकांश दिनों में कम से कम 30 मिनट की मध्यम शारीरिक गतिविधि (जैसे तेज चलना) का लक्ष्य रखें। निरंतर बने रहने के लिए ऐसी गतिविधि खोजें जिसका आप आनंद लेते हों।"
ask_wellness_tip,anxiety,"Managing anxiety can involve lifestyle changes like regular exercise, sufficient sleep, and stress-reduction techniques. If anxiety interferes with your daily life, please consult a mental health professional.","चिंता के प्रबंधन में नियमित व्यायाम, पर्याप्त नींद और तनाव कम करने की तकनीकों जैसी जीवनशैली में बदलाव शामिल हो सकते हैं। यदि चिंता आपके दैनिक जीवन में हस्तक्षेप करती है, तो कृपया एक मानसिक स्वास्थ्य पेशेवर से परामर्श लें।"
ask_wellness_tip,hygiene,"Good hygiene includes washing your hands regularly, brushing your teeth twice a day, and bathing regularly. These habits help prevent the spread of germs.","अच्छी स्वच्छता में नियमित रूप से हाथ धोना, दिन में दो बार दांतों को ब्रश करना और नियमित रूप से स्नान करना शामिल है। ये आदतें कीटाणुओं को फैलने से रोकने में मदद करती हैं।"
ask_wellness_tip,nutrition,"Nutrition means eating a healthy, balanced diet. Try to include a variety of foods, including fruits, vegetables, and proteins, to get the vitamins and minerals your body needs.","पोषण का अर्थ है एक स्वस्थ, संतुलित आहार खाना। अपने शरीर को आवश्यक विटामिन और खनिज प्राप्त करने के लिए फलों, सब्जियों और प्रोटीन सहित विभिन्न प्रकार के खाद्य पदार्थों को शामिल करने का प्रयास करें।"
ask_wellness_tip,mental health,"Taking care of your mental health is as important as physical health. Practice mindfulness, stay connected with loved ones, and seek professional help if you feel overwhelmed.","अपने मानसिक स्वास्थ्य का ख्याल रखना भी शारीरिक स्वास्थ्य जितना ही महत्वपूर्ण है। सचेतनता (माइंडफुलनेस) का अभ्यास करें, प्रियजनों से जुड़े रहें, और यदि आप अभिभूत महसूस करते हैं तो पेशेवर मदद लें।"
ask_wellness_tip,screen time,"Excessive screen time, especially before bed, can disrupt sleep. Try to set limits, take regular breaks (like the 20-20-20 rule), and put screens away an hour before sleep.","अत्यधिक स्क्रीन समय, विशेष रूप से सोने से पहले, नींद को बाधित कर सकता है। सीमाएं निर्धारित करने का प्रयास करें, नियमित ब्रेक लें (जैसे 20-20-20 नियम), और सोने से एक घंटे पहले स्क्रीन को दूर रख दें।"
ask_wellness_tip,insomnia,"To help with insomnia, try to go to bed and wake up at the same time every day. Avoid caffeine and large meals late at night. Ensure your bedroom is a restful environment.","अनिद्रा में मदद के लिए, हर दिन एक ही समय पर सोने और जागने की कोशिश करें। देर रात में कैफीन और भारी भोजन से बचें। सुनिश्चित करें कि आपका शयनकक्ष एक आरामदायक वातावरण है।"
ask_wellness_tip,meditation,"Meditation is a practice to help train attention and awareness. Even 5-10 minutes a day can help reduce stress and improve focus.","ध्यान (मेडिटेशन) ध्यान और जागरूकता को प्रशिक्षित करने में मदद करने वाला एक अभ्यास है। दिन में 5-10 मिनट भी तनाव कम करने और ध्यान केंद्रित करने में मदद कर सकते हैं।"
ask_wellness_tip,mindfulness,"Mindfulness means paying full attention to the present moment without judgment. You can practice it anywhere, such as by focusing on your breathing.","सचेतनता (माइंडफुलनेस) का अर्थ है बिना किसी निर्णय के वर्तमान क्षण पर पूरा ध्यान देना। आप इसका अभ्यास कहीं भी कर सकते हैं, जैसे कि अपनी सांस पर ध्यान केंद्रित करके।"
ask_wellness_tip,social connection,"Strong social connections are vital for mental health. Make time for friends and family, even if it's just a quick phone call.","मजबूत सामाजिक संबंध मानसिक स्वास्थ्य के लिए महत्वपूर्ण हैं। दोस्तों और परिवार के लिए समय निकालें, भले ही वह सिर्फ एक त्वरित फोन कॉल हो।"
ask_wellness_tip,work-life balance,"Strive for a good work-life balance. Set boundaries for work hours, unplug from technology, and make time for hobbies and relaxation.","अच्छे कार्य-जीवन संतुलन के लिए प्रयास करें। काम के घंटों के लिए सीमाएं निर्धारित करें, प्रौद्योगिकी से नाता तोड़ें, और शौक और विश्राम के लिए समय निकालें।"
ask_wellness_tip,healthy fats,"Not all fats are bad. Include healthy fats in your diet, found in foods like avocados, nuts, seeds, and olive oil. They are important for brain health.","सभी वसा खराब नहीं होती हैं। अपने आहार में स्वस्थ वसा शामिल करें, जो एवोकाडो, नट्स, बीज और जैतून के तेल जैसे खाद्य पदार्थों में पाए जाते हैं। वे मस्तिष्क के स्वास्थ्य के लिए महत्वपूर्ण हैं।"
ask_wellness_tip,fiber,"Fiber is important for digestive health. Good sources include fruits, vegetables, beans, legumes, and whole grains.","फाइबर पाचन स्वास्थ्य के लिए महत्वपूर्ण है। अच्छे स्रोतों में फल, सब्जियां, बीन्स, फलियां और साबुत अनाज शामिल हैं।"
ask_wellness_tip,protein,"Protein is essential for building and repairing tissues. Choose lean protein sources like poultry, fish, beans, lentils, tofu, and low-fat dairy.","प्रोटीन ऊतकों के निर्माण और मरम्मत के लिए आवश्यक है। पोल्ट्री, मछली, बीन्स, दाल, टोफू और कम वसा वाले डेयरी जैसे लीन प्रोटीन स्रोतों को चुनें।"
ask_wellness_tip,carbohydrates,"Carbohydrates are your body's main source of energy. Focus on complex carbs like whole grains, vegetables, and fruits, rather than simple sugars.","कार्बोहाइड्रेट आपके शरीर की ऊर्जा का मुख्य स्रोत हैं। साधारण शर्करा के बजाय जटिल कार्ब्स जैसे साबुत अनाज, सब्जियों और फलों पर ध्यान केंद्रित करें।"
ask_wellness_tip,vitamins,"A balanced diet usually provides all necessary vitamins. Vitamin D (from sunlight or supplements) and B12 (especially for vegans) are common exceptions to discuss with a doctor.","एक संतुलित आहार आमतौर पर सभी आवश्यक विटामिन प्रदान करता है। विटामिन डी (धूप या सप्लीमेंट्स से) और बी12 (विशेषकर शाकाहारियों के लिए) सामान्य अपवाद हैं जिन पर डॉक्टर से चर्चा की जानी चाहिए।"
ask_wellness_tip,alcohol,"If you drink alcohol, do so in moderation. This means limiting intake to no more than one drink per day for women and two drinks per day for men.","यदि आप शराब पीते हैं, तो संयम से पिएं। इसका मतलब है कि महिलाओं के लिए प्रति दिन एक से अधिक पेय और पुरुषों के लिए प्रति दिन दो से अधिक पेय नहीं।"
ask_wellness_tip,smoking,"Smoking cessation is one of the best things you can do for your health. It dramatically reduces the risk of many diseases. Seek help if you want to quit.","धूम्रपान छोड़ना (Smoking cessation) आपके स्वास्थ्य के लिए सबसे अच्छी चीजों में से एक है जो आप कर सकते हैं। यह कई बीमारियों के खतरे को नाटकीय रूप से कम करता है। यदि आप छोड़ना चाहते हैं तो मदद लें।"
ask_wellness_tip,yoga,"Yoga combines physical postures, breathing exercises, and meditation. It can help improve flexibility, reduce stress, and promote relaxation.","योग (Yoga) शारीरिक मुद्राओं, श्वास अभ्यास और ध्यान को जोड़ता है। यह लचीलापन सुधारने, तनाव कम करने और विश्राम को बढ़ावा देने में मदद कर सकता है।"
